Frame,FPS
1267,272.63
1268,280.49
1269,294.01
1270,152.30
1271,335.97
1272,231.44
1273,294.32
1274,276.22
1275,346.78
1276,229.38
1277,265.46
1278,242.15
1279,295.63
1280,226.31
1281,272.18
1282,254.30
1283,331.62
1284,261.86
1285,348.01
1286,233.11
1287,314.95
1288,266.79
1289,322.64
1290,234.59
1291,348.89
1292,254.34
1293,358.71
1294,337.59
1295,251.12
1296,299.53
1297,252.55
1298,326.18
1299,199.84
1300,284.33
1301,275.72
1302,316.45
1303,251.58
1304,248.12
1305,203.46
1306,340.72
1307,85.13
1308,89.57
1309,209.64
1310,243.40
1311,214.74
1312,285.00
1313,246.77
1314,316.99
1315,242.54
1316,328.90
1317,241.55
1318,303.80
1319,245.64
1320,322.32
1321,236.44
1322,293.04
1323,227.31
1324,277.78
1325,232.66
1326,302.58
1327,197.13
1328,326.89
1329,272.19
1330,272.11
1331,232.23
1332,298.10
1333,180.12
1334,316.88
1335,247.89
1336,323.75
1337,262.60
1338,308.70
1339,213.18
1340,247.74
1341,195.75
1342,254.07
1343,234.72
1344,294.85
1345,224.34
1346,304.40
1347,199.57
1348,325.68
1349,254.38
1350,291.77
1351,243.34
1352,325.99
1353,250.75
1354,274.32
1355,241.86
1356,268.56
1357,304.54
1358,254.85
1359,322.38
1360,247.16
1361,292.77
1362,318.82
1363,262.04
1364,292.98
1365,251.15
1366,300.69
1367,239.87
1368,328.40
1369,239.73
1370,224.08
1371,198.05
1372,312.85
1373,253.79
1374,317.72
1375,252.34
1376,320.10
1377,247.04
1378,313.00
1379,284.87
1380,250.75
1381,288.00
1382,248.84
1383,330.07
1384,244.53
1385,232.50
1386,289.12
1387,243.69
1388,319.34
1389,246.51
1390,281.71
1391,254.16
1392,342.06
1393,236.48
1394,329.07
1395,256.03
1396,231.97
1397,285.36
1398,271.44
1399,326.29
1400,243.36
1401,286.41
1402,243.93
1403,280.53
1404,224.53
1405,341.97
1406,244.15
1407,305.44
1408,196.01
1409,352.81
1410,238.36
1411,299.89
1412,319.47
1413,250.00
1414,314.39
1415,238.38
1416,318.65
1417,262.22
1418,322.11
1419,245.99
1420,290.77
1421,209.23
1422,278.31
1423,282.98
1424,304.58
1425,237.52
1426,312.46
1427,234.53
1428,257.61
1429,253.15
1430,244.98
1431,258.38
1432,304.92
1433,256.07
1434,327.36
1435,241.28
1436,302.98
1437,270.04
1438,365.72
1439,240.86
1440,309.44
1441,313.34
1442,267.72
1443,353.81
1444,256.14
1445,334.07
1446,256.23
1447,267.04
1448,340.31
1449,243.08
1450,356.38
1451,231.33
1452,303.26
1453,242.30
1454,279.88
1455,244.36
1456,283.54
1457,308.69
1458,239.37
1459,358.17
1460,270.08
1461,337.71
1462,258.15
1463,332.38
1464,281.05
1465,408.16
1466,269.95
1467,356.62
1468,265.50
1469,272.48
1470,284.41
1471,398.84
1472,266.55
1473,354.71
1474,243.98
1475,248.84
1476,299.58
1477,194.92
1478,297.70
1479,235.55
1480,314.11
1481,254.98
1482,335.65
1483,255.10
1484,304.60
1485,242.14
1486,273.86
1487,233.33
1488,325.65
1489,253.88
1490,334.00
1491,252.97
1492,333.64
1493,287.82
1494,251.09
1495,339.32
1496,249.09
1497,294.54
1498,245.98
1499,318.52
1500,253.51
1501,337.40
1502,266.03
1503,338.86
1504,259.20
1505,325.16
1506,217.41
1507,228.72
1508,189.85
1509,327.61
1510,247.64
1511,322.36
1512,257.94
1513,318.00
1514,274.61
1515,322.57
1516,258.32
1517,336.95
1518,256.98
1519,317.59
1520,325.72
1521,245.03
1522,342.34
1523,264.84
1524,337.11
1525,247.64
1526,309.70
1527,256.08
1528,278.61
1529,258.69
1530,323.35
1531,275.07
1532,336.51
1533,245.00
1534,328.07
1535,251.65
1536,332.98
1537,248.76
1538,337.95
1539,268.12
1540,382.47
1541,221.10
1542,331.81
1543,263.10
1544,345.48
1545,265.63
1546,315.15
1547,242.72
1548,307.35
1549,203.13
1550,312.95
1551,270.49
1552,319.14
1553,261.26
1554,353.13
1555,243.46
1556,334.20
1557,341.05
1558,269.14
1559,317.31
1560,270.90
1561,340.77
1562,236.18
1563,331.15
1564,247.04
1565,327.87
1566,280.47
1567,334.77
1568,256.28
1569,325.87
1570,263.86
1571,280.23
1572,93.62
1573,79.25
1574,236.69
1575,315.20
1576,242.28
1577,298.35
1578,230.90
1579,301.72
1580,248.76
1581,321.45
1582,225.46
1583,314.50
1584,251.72
1585,327.41
1586,209.67
1587,315.74
1588,263.10
1589,304.11
1590,253.65
1591,352.22
1592,251.14
1593,312.10
1594,204.80
1595,316.40
1596,247.03
1597,284.19
1598,242.78
1599,312.28
1600,244.61
1601,332.02
1602,205.36
1603,319.97
1604,266.06
1605,311.92
1606,231.98
1607,299.37
1608,233.42
1609,326.03
1610,251.50
1611,337.59
1612,318.43
1613,266.03
1614,337.64
1615,259.71
1616,316.06
1617,268.87
1618,286.80
1619,271.99
1620,329.83
1621,245.84
1622,348.25
1623,243.29
1624,324.70
1625,253.08
1626,308.50
1627,262.84
1628,298.80
1629,251.05
1630,355.54
1631,239.13
1632,323.18
1633,266.83
1634,355.28
1635,269.95
1636,319.44
1637,245.02
1638,333.02
1639,251.39
1640,295.20
1641,231.26
1642,302.21
1643,254.01
1644,359.57
1645,189.24
1646,332.14
1647,285.09
1648,333.27
1649,274.12
1650,326.86
1651,263.47
1652,316.72
1653,264.00
1654,337.40
1655,302.35
1656,253.02
1657,320.21
1658,251.81
1659,325.49
1660,230.27
1661,319.55
1662,281.97
1663,338.16
1664,292.48
1665,340.69
1666,271.60
1667,346.44
1668,262.92
1669,339.51
1670,270.97
1671,289.80
1672,260.65
1673,338.18
1674,278.37
1675,342.21
1676,273.40
1677,362.86
1678,208.89
1679,293.15
1680,273.00
1681,382.41
1682,261.14
1683,330.93
1684,290.88
1685,287.17
1686,261.40
1687,329.22
1688,239.00
1689,323.89
1690,273.17
1691,339.79
1692,256.51
1693,398.76
1694,208.03
1695,294.72
1696,262.10
1697,351.21
1698,268.53
1699,279.84
