Frame,FPS
1247,329.61
1248,362.11
1249,370.92
1250,376.87
1251,344.61
1252,365.82
1253,374.49
1254,368.81
1255,357.16
1256,371.32
1257,378.57
1258,372.37
1259,375.09
1260,343.76
1261,350.21
1262,360.86
1263,321.44
1264,350.98
1265,338.87
1266,368.85
1267,369.99
1268,380.91
1269,358.55
1270,374.11
1271,366.02
1272,368.68
1273,426.77
1274,377.90
1275,383.61
1276,420.03
1277,415.39
1278,402.76
1279,427.73
1280,417.14
1281,442.28
1282,440.30
1283,421.16
1284,420.03
1285,397.14
1286,434.61
1287,412.75
1288,445.16
1289,424.36
1290,447.81
1291,427.26
1292,441.91
1293,432.41
1294,435.86
1295,374.04
1296,422.40
1297,417.54
1298,410.04
1299,402.06
1300,427.86
1301,431.28
1302,406.72
1303,434.63
1304,425.30
1305,451.85
1306,429.35
1307,418.20
1308,432.55
1309,433.93
1310,438.48
1311,398.95
1312,404.53
1313,418.13
1314,378.19
1315,398.12
1316,399.44
1317,392.83
1318,319.05
1319,395.68
1320,427.84
1321,419.69
1322,437.66
1323,400.42
1324,406.74
1325,413.62
1326,410.36
1327,430.77
1328,400.91
1329,413.46
1330,426.99
1331,406.09
1332,414.04
1333,441.03
1334,439.12
1335,448.51
1336,431.41
1337,419.57
1338,420.54
1339,374.81
1340,445.59
1341,448.03
1342,430.03
1343,421.57
1344,365.00
1345,429.20
1346,426.77
1347,436.81
1348,429.59
1349,432.15
1350,408.45
1351,418.18
1352,442.42
1353,431.80
1354,419.43
1355,415.63
1356,422.74
1357,418.62
1358,430.59
1359,434.65
1360,431.22
1361,426.80
1362,428.50
1363,391.48
1364,369.47
1365,441.89
1366,427.62
1367,442.59
1368,448.29
1369,431.74
1370,361.60
1371,363.32
1372,377.16
1373,425.24
1374,411.34
1375,419.71
1376,415.99
1377,390.03
1378,434.35
1379,442.56
1380,427.79
1381,437.37
1382,439.97
1383,401.28
1384,425.68
1385,435.41
1386,449.36
1387,413.87
1388,420.66
1389,418.30
1390,424.95
1391,433.35
1392,404.83
1393,428.06
1394,462.90
1395,406.55
1396,268.42
1397,392.42
1398,445.67
1399,431.31
1400,423.08
1401,435.82
1402,416.25
1403,426.29
1404,414.99
1405,415.02
1406,433.93
1407,427.30
1408,422.92
1409,338.88
1410,405.47
1411,401.56
1412,397.74
1413,406.21
1414,426.53
1415,401.86
1416,411.88
1417,235.56
1418,49.44
1419,271.28
1420,321.93
1421,346.48
1422,340.04
1423,357.42
1424,318.59
1425,335.85
1426,397.66
1427,419.27
1428,399.04
1429,404.16
1430,358.50
1431,385.64
1432,380.46
1433,403.19
1434,415.18
1435,416.42
1436,407.27
1437,429.20
1438,427.35
1439,416.23
1440,416.63
1441,390.27
1442,384.85
1443,407.43
1444,413.87
1445,414.30
1446,412.35
1447,423.10
1448,402.85
1449,396.98
1450,421.39
1451,428.27
1452,415.11
1453,411.49
1454,417.40
1455,386.31
1456,414.40
1457,412.63
1458,386.98
1459,418.73
1460,420.27
1461,396.76
1462,275.98
1463,302.53
1464,406.13
1465,408.06
1466,421.55
1467,392.53
1468,410.05
1469,420.77
1470,407.40
1471,424.34
1472,411.61
1473,395.91
1474,405.30
1475,407.68
1476,414.59
1477,414.22
1478,399.58
1479,421.78
1480,408.18
1481,405.60
1482,410.78
1483,444.11
1484,408.38
1485,416.27
1486,301.16
1487,395.02
1488,365.47
1489,409.57
1490,315.69
1491,410.09
1492,335.72
1493,283.64
1494,365.36
1495,325.45
1496,348.93
1497,301.35
1498,326.04
1499,360.15
1500,358.05
1501,394.37
1502,402.20
1503,346.48
1504,358.29
1505,388.27
1506,368.68
1507,360.96
1508,355.35
1509,410.09
1510,354.96
1511,336.85
1512,296.01
1513,347.56
1514,333.14
1515,350.58
1516,347.66
1517,370.78
1518,349.64
1519,335.67
1520,346.51
1521,340.84
1522,345.60
1523,357.49
1524,412.25
1525,326.97
1526,337.35
1527,353.87
1528,339.27
1529,349.35
1530,332.75
1531,327.08
1532,339.44
1533,349.63
1534,343.57
1535,361.31
1536,313.78
1537,330.27
1538,343.60
1539,357.91
1540,338.91
1541,326.78
1542,308.24
1543,301.24
1544,344.42
1545,305.96
1546,309.66
1547,342.03
1548,334.22
1549,340.77
1550,337.55
1551,344.51
1552,344.61
1553,354.69
1554,361.45
1555,341.23
1556,349.16
1557,352.19
1558,337.26
1559,347.07
1560,357.86
1561,414.76
1562,348.94
1563,340.69
1564,329.04
1565,404.86
1566,362.75
1567,351.85
1568,403.27
1569,350.62
1570,334.03
1571,339.58
1572,316.02
1573,287.27
1574,218.69
1575,319.14
1576,343.38
1577,400.24
1578,297.63
1579,310.98
1580,339.34
1581,350.99
1582,345.82
1583,333.72
1584,319.16
1585,322.84
1586,331.74
1587,317.09
1588,330.63
1589,347.17
1590,322.40
1591,337.68
1592,331.61
1593,343.14
1594,339.73
1595,398.93
1596,346.14
1597,327.89
1598,345.17
1599,338.01
1600,349.11
1601,356.07
1602,392.53
